Work_Location,H_Androscoggin,H_Aroostook,H_Cumberland,H_Franklin,H_Hancock,H_Kennebec,H_Knox,H_Lincoln,H_Oxford,H_Penobscot,H_Piscataquis,H_Sagadahoc,H_Somerset,H_Waldo,H_Washington,H_York,H_NH,H_MA,H_CtRiVt,H-RestUS
Piscataquis County,0.006254738438210770000000000000,0.014215314632297200000000000000,0.012509476876421500000000000000,0.009287338893100830000000000000,0.015352539802881000000000000000,0.014404852160727800000000000000,0.008150113722517060000000000000,0.002084912812736920000000000000,0.007391963608794540000000000000,0.194844579226687000000000000000,0.611068991660349000000000000000,0.003601213040181960000000000000,0.060841546626232000000000000000,0.011372251705837800000000000000,0.007391963608794540000000000000,0.010424564063684600000000000000,0.002274450341167550000000000000,0.001326762699014400000000000000,0.000379075056861259000000000000,0.006823351023502650000000000000
Sagadahoc County,0.140850209815727000000000000000,0.002128565346956150000000000000,0.184881104421334000000000000000,0.007358754485191270000000000000,0.006324879888098280000000000000,0.119382107887855000000000000000,0.011494252873563200000000000000,0.079790792434470600000000000000,0.012406495165115900000000000000,0.012588943623426400000000000000,0.001277139208173690000000000000,0.354132457580733000000000000000,0.016177096636866800000000000000,0.008635893693364960000000000000,0.000851426138782461000000000000,0.029070121024144000000000000000,0.003709785318980720000000000000,0.003527336860670190000000000000,0.001520403819254390000000000000,0.003892233777291250000000000000
Somerset County,0.019403892944038900000000000000,0.009914841849148420000000000000,0.026094890510948900000000000000,0.037530413625304100000000000000,0.014598540145985400000000000000,0.160462287104623000000000000000,0.007846715328467150000000000000,0.006204379562043800000000000000,0.022323600973236000000000000000,0.091240875912408800000000000000,0.018430656934306600000000000000,0.005170316301703160000000000000,0.516484184914842000000000000000,0.024513381995133800000000000000,0.008698296836982970000000000000,0.016301703163017000000000000000,0.004562043795620440000000000000,0.002858880778588810000000000000,0.001094890510948910000000000000,0.006265206812652070000000000000
Waldo County,0.011022130371135800000000000000,0.006974941875484370000000000000,0.030483079307672400000000000000,0.006888831481959870000000000000,0.041591320072332700000000000000,0.048221820373719100000000000000,0.072763282528201100000000000000,0.010161026435890800000000000000,0.009299922500645830000000000000,0.093085335399982800000000000000,0.005511065185567900000000000000,0.008266597778351850000000000000,0.026263670024972000000000000000,0.587789546198226000000000000000,0.011797123912856300000000000000,0.013949883750968700000000000000,0.003358305347455440000000000000,0.006372169120812880000000000000,0.000602772754671489000000000000,0.005597175579092400000000000000
Washington County,0.005543710021321960000000000000,0.043603411513859300000000000000,0.011620469083155700000000000000,0.001599147121535180000000000000,0.040618336886993600000000000000,0.004584221748400850000000000000,0.011940298507462700000000000000,0.002238805970149250000000000000,0.003837953091684440000000000000,0.072174840085287900000000000000,0.005437100213219620000000000000,0.001279317697228150000000000000,0.005223880597014930000000000000,0.010874200426439200000000000000,0.757569296375266000000000000000,0.006929637526652450000000000000,0.001385927505330490000000000000,0.002132196162046910000000000000,0.000639658848614073000000000000,0.010767590618336900000000000000
York County,0.016996554334893900000000000000,0.001807815324711440000000000000,0.141674006087857000000000000000,0.005562508691419830000000000000,0.004233687170691760000000000000,0.012376581838409100000000000000,0.002889414236931970000000000000,0.005392543148070890000000000000,0.016872943030640200000000000000,0.008173797493780810000000000000,0.001127953151315690000000000000,0.005500703039292940000000000000,0.006242370864815590000000000000,0.002657643041456140000000000000,0.000880730542808140000000000000,0.666944792101238000000000000000,0.077118002441323300000000000000,0.012469290316599500000000000000,0.002085940759282440000000000000,0.008992722384462060000000000000
New Hampshire,0.000549608177686512000000000000,0.000108713705476453000000000000,0.003125519032448020000000000000,0.000368418668559090000000000000,0.000125322743813133000000000000,0.000468072898579172000000000000,0.000069455978498844900000000000,0.000138911956997690000000000000,0.003234232737924470000000000000,0.000424285433873379000000000000,0.000048317202433979100000000000,0.000154011082758308000000000000,0.000543568527382265000000000000,0.000081535279107339700000000000,0.000073985716227030500000000000,0.022429751317398700000000000000,0.859981277084057000000000000000,0.069619049057059600000000000000,0.030764468737260100000000000000,0.007691494662459040000000000000
Massachusetts,0.000226371410371468000000000000,0.000029370097306457300000000000,0.000663875029681808000000000000,0.000014130895873861500000000000,0.000021057805615950500000000000,0.000241056459024697000000000000,0.000015793354211962900000000000,0.000072594014097092600000000000,0.000026876409799305300000000000,0.000070654479369307600000000000,0.000008312291690506780000000000,0.000075918930773295300000000000,0.000021889034785001200000000000,0.000016347506991330000000000000,0.000016347506991330000000000000,0.000689366057532696000000000000,0.029579844133447700000000000000,0.917573098985817000000000000000,0.036343832958402800000000000000,0.014293262638216100000000000000
CT-RI-VT,0.000058818738745260600000000000,0.000012750915392329200000000000,0.000177690175789878000000000000,0.000032905588109236700000000000,0.000018509393311445600000000000,0.000080207371016264400000000000,0.000014807514649156500000000000,0.000023856551379196600000000000,0.000082675290124457200000000000,0.000044011224096104100000000000,0.000004524518365020040000000000,0.000016864113905983800000000000,0.000057996099042529600000000000,0.000010694316135501900000000000,0.000006169797770481880000000000,0.000121339356152810000000000000,0.005911488903824370000000000000,0.038418096757236600000000000000,0.913909521149655000000000000000,0.040997072225298000000000000000
Outside New England,0.000003433434969899920000000000,0.000001631804577092220000000000,0.000008299313776704330000000000,0.000000583314758327084000000000,0.000001166629516654170000000000,0.000003522039743316700000000000,0.000000708838187334178000000000,0.000000871280271931594000000000,0.000001262618021189000000000000,0.000003544190936670890000000000,0.000000273198051368381000000000,0.000000982036238702559000000000,0.000001151862054418040000000000,0.000000900815196403851000000000,0.000000745756842924500000000000,0.000005478728489603750000000000,0.000048496345983446700000000000,0.000344325533228695000000000000,0.000983830485364249000000000000,0.998588791773791000000000000000
